id;file;channel;mean;deviation;3rd;uniformity;entropy;4th
148;database/maligno/maligno (8).tif;gray;67.994;66.317;469503.922;0.017;6.545;79124842.168
149;database/maligno/maligno (9).tif;gray;79.888;45.429;135773.579;0.008;7.148;21618120.247
150;database/maligno/maligno (10).tif;gray;84.844;69.303;411714.244;0.011;6.945;69380529.058
151;database/maligno/maligno (11).tif;gray;74.473;39.893;112057.489;0.010;6.949;16477656.366
152;database/maligno/maligno (12).tif;gray;77.551;35.091;67879.635;0.010;6.894;9492652.344
153;database/maligno/maligno (13).tif;gray;67.384;58.280;347172.689;0.017;6.589;55005086.717
154;database/maligno/maligno (14).tif;gray;76.818;58.555;303247.236;0.010;6.994;48326602.318
155;database/maligno/maligno (15).tif;gray;80.076;30.976;27396.194;0.010;6.886;4420916.871
156;database/maligno/maligno (16).tif;gray;89.550;44.209;122322.478;0.009;7.104;17385656.127
157;database/maligno/maligno (17).tif;gray;91.291;69.660;339870.197;0.009;7.124;57360913.648
158;database/maligno/maligno (18).tif;gray;64.469;30.013;49898.142;0.013;6.610;6154903.386
159;database/maligno/maligno (19).tif;gray;63.372;37.698;105581.833;0.013;6.683;13789758.826
160;database/maligno/maligno (20).tif;gray;63.507;45.438;166962.477;0.012;6.876;24171035.084
